pp101|banana|2.00|s200|1.2|2.00|0.10|500.00|100.00|400.00|10.00
pp102|grapes|4.50|s201|1.8|3.50|0.10|200.00|50.00|150.00|8.00
np103|chocolate|6.50|s201|10.6|5.00|0.30|150|50|100|20
np104|sugar|3.00|s202|9.2|3.00|0.15|200|50|150|10
np105|flour|2.50|s202|9.5|2.50|0.10|250|70|170|20
pp106|onion|13.60|s200|1.3|13.00|0.10|500.00|100.00|400.00|10.00
pp107|garlic|15.50|s201|1.4|15.50|0.10|200.00|50.00|150.00|8.00
np108|soda|2.50|s201|8.6|2.00|0.10|150|50|100|24
np109|gum|3.00|s202|3.8|3.00|0.15|200|50|150|10
np110|chips|2.50|s202|4.5|2.00|0.10|250|70|170|20
pp111|cucumber|5.00|s200|1.2|5.00|0.10|500.00|100.00|400.00|10.00
pp112|tomato|5.50|s201|1.8|5.50|0.10|200.00|50.00|150.00|10.00
np113|tuna|1.50|s201|6.6|1.20|0.05|150|50|100|30
np114|beans|3.00|s202|5.2|3.00|0.15|200|50|150|20
np115|pasta|2.50|s202|4.7|2.50|0.05|250|70|170|50
